datetime,ride_count
2013-09-01,778
2013-09-02,743
2013-09-03,1397
2013-09-04,1543
2013-09-05,1435
2013-09-06,1522
2013-09-07,1205
2013-09-08,1206
2013-09-09,1487
2013-09-10,1646
2013-09-11,1587
2013-09-12,1401
2013-09-13,1701
2013-09-14,1203
2013-09-15,1238
2013-09-16,1344
2013-09-17,1658
2013-09-18,1681
2013-09-19,1634
2013-09-20,1777
2013-09-21,1227
2013-09-22,1121
2013-09-23,1557
2013-09-24,1728
2013-09-25,1679
2013-09-26,1742
2013-09-27,1594
2013-09-28,1329
2013-09-29,1162
2013-09-30,1666
